"T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50"
-0.58491063,0.26865004,0.16985758,0.30005799,-0.13287761121,0.15718242,0.50287194,-0.41882621932,0.3367601,0.51803645,1.1477352,0.3507389,0.13608096,-0.11256164939,0.28712412464,0.47771009,-0.33393370642,-0.035489875,-0.70801516,-0.99928957,-0.15907533893,0.69310888,-0.46538907,0.23726548,-0.75059177,0.89871853,0.32050114,0.15989987,-0.86188232,-0.35504286,-0.67771772,0.47309929,0.47500742,-0.50486565,0.21827627,0.35275261,-1.3597633,-0.76264497,0.25508905,-0.011559364,0.53242712,-0.32017103966,-0.42966551,-0.059542861,0.016707903,-0.15240955698,0.17426965,-0.20772313,0.13324861,0.46603573
-0.38118054564,0.17635338,-0.26613826,-0.07799680808,-0.44660828,-0.081502742,0.12887350075,-0.13776775,0.42465401,-0.17916049,0.035525927,0.11792155,0.054783599,-0.13584854,0.23108537,0.33757691006,0.17604683,0.35932212,-0.095210299,-0.009200476,-0.29800238,0.31811203,0.18656076,0.18695294303,-0.17787822,0.89671519,0.1495401,0.29022474692,-0.69124702,-0.39883186,0.27317738003,0.51418863,0.3800312,0.11391686,0.28497566,0.80748749,-0.49390041,-0.29139893,0.55182917,0.22734629,0.61032424,0.21549525785,0.071559573,0.46919667,0.4774106,0.13807302793,0.57348551,0.32419674627,0.31156276,0.37124785
-1.2188333,-0.79531646479,-0.82793869,-0.5423686,-0.92741590598,-0.79559512678,-0.16832192,-0.62580397096,-0.043646961,-0.33296905,-0.46020655,-0.8107497,0.4843334,-1.6146708,-1.129659,-0.7558078,-1.0524082,-0.48558383,-0.43105052141,-0.71506636,-0.52556220203,-0.35109387,-1.0849807,-0.83485358,-0.94780760217,-1.1279111,-1.2011148,-0.83498184858,-1.4920463,-0.39387926,-1.6268292,-2.3120707,-1.2772384,-0.37612735,-1.0191707,-1.2025599,-1.7472323,-1.6491477,-0.70899842267,-1.008278,-0.60447062,-1.3484612,-1.4717869,-1.9258012,-1.6613163,-1.3242562,-0.038400994,-1.0996706,-1.2876894,-1.088063
-0.18812338,0.69109827,-0.013019545,0.16515014479,-1.4531907,-0.01362273947,0.41761251,-1.4306265,0.55155224,0.13976365,0.97419691,0.65267642,-0.40199647,-0.44926275,0.71973915,0.95796567,-0.45428896,0.26348076,-0.24514526,-0.83004337,-0.45927054,0.8017925,-0.16307902963,-0.01508867093,-0.35962111,0.70723545,0.50403443,0.13136859,-0.30618276,-0.20687486,0.15506142096,0.91869404,0.8336615,-0.77829186,0.20303277,0.67329037,-0.3663724261,-1.020331,0.34095986914,0.24727134,0.82777783,-0.36097305,-0.25994269,-0.016911416,0.46585211,0.062862649,0.39425083,0.080327791,0.39903015,0.064730092
-1.0553173,0.35672337,-0.30068217,-0.88390204,-0.75240264,-0.062600774,-0.0810448719599999,-0.30154294538,-0.19731438,-1.3295675,-0.64068739972,-0.52166977,0.78571171,0.49182767,0.20458519,0.50858012622,0.18354169,0.098459699,0.37280332,0.38588251,0.80268631,0.32706645,0.38008567988,0.53293153,0.23425359,1.143719,-0.33798972,0.27590808843,-0.01484904,-0.049728818,-0.062665423,-0.13980085,0.050286836,0.68556169,-0.079053256,0.24276838,-0.41810704,0.67558677,0.20441129,0.31113414,0.092873784,0.3471453648,0.27653421172,0.32199848,0.02661576639,0.069218368,0.31395294,0.37311452,-0.075456375,0.27317219103
-0.79261777,-0.01928152157,-0.34592795,-0.32703628,-0.46566548,-0.63011987,-0.20584019,-0.73125144,-0.72358501,-0.045220793,-0.43658492,-0.47784105,-0.30790435122,-0.14911288,-0.67041302767,-0.76088078,-0.2755041,0.03045628,0.33667634,-0.05486763078,-0.1522903055,0.29393706,-0.14786396,-0.33415562,-0.42795919,0.003119886,-0.80258932,-0.38833207,-0.26574015,-0.097760157,-0.40032639,-0.45893071,-1.1076702,-0.18215387,-0.43501737,-0.43384554694,-0.48699963159,-0.41921642548,-0.82536373,-1.0367415,-1.446854,-0.57521991,-0.50465986999,-0.13851301346,-0.07106788631,0.14108993,-0.25455065,-0.026122369,0.25071107,-0.12582365
-1.0607537,0.19941364519,0.37203677,0.22391841201,-0.67964537,0.20019798,0.48120486,-1.733681,0.26640017,0.44965627,1.1039123,0.60051772,-0.13521857,-0.07955159391,0.61289638,0.28618661,-0.4672752,-0.0865094588899999,-0.34876638869,-1.2516818,-0.71888318,0.66268317,-0.24187386222,0.23420652,-0.86461665,0.85610124,0.26442014973,-0.32802803,-0.42276974839,-0.31937282844,0.34593165,0.97670119,1.018815,-0.59418247,0.46008733,0.72432314,-0.83917888,-1.1356387,0.71132183,-0.07593945447,0.50338598,-0.54486693332,-0.56131566,0.00410992031,0.16302478513,-0.093525442,0.17824783,0.031812686,0.23019837522,0.13285869616
1.3154512,0.42363608,1.3007414,1.5169704,1.4236043,0.83834193,1.7996801,0.53582414,1.2159575,1.5849625,1.0889414,2.143995,1.4465213,1.3670725,0.46291054969,0.40756771,0.57118657,0.67832458,0.51241622,0.29053813,0.38663724,0.39805167785,0.52744724,0.45230388,0.8060264853,0.67882479336,0.082458993,0.73529484,0.44597137862,0.41855029,0.5915727,0.30090323,0.62395085,0.18988597,0.37521319,-0.078115565,0.27428477,0.53971843,0.80387987254,0.61623049588,0.35291702862,0.070518893,0.80374411,0.53909672,0.47703544993,0.37059931479,-0.30753306,0.60518962938,0.55167588949,-0.1896979
0.01409901769,0.22449488,0.30264875,0.61712763,0.13221134792,-0.064884504,0.51338424846,0.04489991174,0.51753688,-0.3352693,-0.2338122,0.26576015,0.80694847,0.40866072,-0.069842232,0.6150194,0.50439358,0.27926849831,0.16360481,0.35881236916,0.59319906,0.34825302,0.54978048,0.68099219,0.38447418311,0.833129800990001,0.021296723,0.48330172,0.13321069648,0.020683261,0.1281417,0.06733708082,0.11095135862,0.78708141,-0.08305857,0.17947534,-0.097427573,0.55568589,0.23697993,0.2833218994,0.10063966,0.5284985277,0.32975399,0.51139693,-0.20673742,0.1309301,0.72429531,0.33795364,0.44995694,0.39396953
0.37866471,0.16902133,-0.53693201,-0.25462541902,-0.48586471759,-0.10116786,-0.47302677,-1.0121968,-0.14381628456,-0.18615104,-0.18476700977,0.17249769,-0.4010371067,-0.80870604,-0.55318528,-0.008855982,-0.9930448,-0.3552162,-0.07563091452,-0.84878272,0.44204895,0.10877557711,-0.22451126,-0.59622154,-0.33994942,0.12552644,-0.65838492,0.009620449,-0.39636656,-0.04380463,-0.35390863,-0.83955420701,-0.75517657173,-0.98106552,-0.82314967,-0.74372572,-1.0151727,-1.242069,-0.93671112,-0.79505452,-0.85061795234,-1.3021839,-0.65246185,-0.11865463,-0.24096216,-0.36788948,-0.66757804,0.80788184,-0.36874321,0.24046963
0.24744357,-0.14661381839,-0.23161044,-0.28839748,-0.14600482,-0.39342008,-0.321194,-0.34058924254,-0.063491222,0.2859557,-0.14521368872,-0.36698578,0.013883963,-1.0205285,-0.91000338,-0.04427186901,-0.46766602,0.14785157,-0.083678059,-0.14490907,-0.02508443148,-0.23741562,-0.097463816,-0.33689957644,0.09095546709,-0.40298737,-0.65408903,0.015570223,-0.39369982,-0.37357219,0.13975645,-0.50583587,-0.44142504217,-0.099557558,-0.33727981,-0.2783464,-0.38712008833,-0.49861359,0.16232833,-0.065662845,-0.3560649,-0.11194968,-0.44474635,-0.2890779,-0.44665279,-0.30066325,-0.17623104,-0.33540506,-0.39071238,-0.55807181
-0.33675245,0.55965623,0.77319002,0.25920879,0.31582305159,0.95360481,0.3384949,1.5645849,0.79757068565,0.54131853,0.096373531,0.72548670773,1.7065866,0.16692172,1.389485,0.14949382,1.2209721,0.32938673738,0.54307211,-0.13520875,0.63823449,-0.54703083,0.07413465902,-0.4573763,1.0854576,0.60771115,0.073834675,1.1820719,0.39046314735,-0.84844518,0.41702998,0.45044566812,0.22725424795,0.32592055,0.50253554,0.21600344,-0.71754158,0.1444394,0.67228566,0.8965669,0.35629813827,0.000331375,0.20104876,-0.032667975,-0.033096168,0.031693669,0.19080929,-0.11219859,-0.23848989,-0.22759322152
-0.66659875459,-1.2362012,-0.16219307,-0.20135975919,-0.32560033,-0.10619112,-0.10097372,-0.31605851,-0.16330778,0.040371056,-0.28659561973,-0.6584467,0.022416032,-0.912806128790001,-0.85114080549,-0.52478029042,-0.51304497,-0.3334380175,-0.19176596,-0.11457207,-0.33362842,-0.527924,-1.4500423,-0.85135333443,-0.2970391,-0.95405324,-1.4800098,-0.79741861,-0.92170183642,-0.59722043,-0.72789384,-1.6154085,-0.89108972,-0.5334434,-1.1858425,-0.22208978,-1.1753182,-0.84905646,-0.78960353,-0.66253905,-1.1393157,0.050413219,-1.1159743641,-2.1424362,-1.3904816902,-1.102738,-0.45328232,-1.5561132,-1.1176188,-1.4672151
-0.047121709,-0.13616492083,-0.35496487,0.19226446,-0.19998061,0.059269165,0.14421003424,-1.1901277,-0.57458047,0.13326403,0.080770738,0.27808201,-1.0051897,1.006034,-0.26154803,-0.3927741,-0.11674456,-0.23761902,-0.13108545423,-0.26227619,-0.031526481,-0.12104935,-0.28050503,-0.061786532,-0.3329063,-0.014620976,-0.087343857,-0.61430007,-0.30167086,-0.14778135824,-0.13168648,-0.04266264007,-0.07140945481,-0.065456894,-0.068112626,-0.082370346,0.53479812,-0.096627669,-0.24567903,-0.043106444,-0.43524551,0.11977842,0.08105049206,-0.046108515,0.15830249,-0.18239096,0.41789676,-0.57953701,0.12065827649,0.38142544
0.01568081337,0.096885846,0.20916962,0.80534992,0.31226966,-0.47274185,0.42379274,-0.437154,-0.33842845,0.37569412,0.35324428,0.095799821,0.10022372,0.28284146,-0.14751459,0.09713789455,0.002850181,-0.032161503,0.081051858,-0.00757704,0.10618643129,0.20674705,0.14863073254,0.34624025,-0.101442173,0.3304118,-0.16657920399,0.05440483649,-0.032994619,0.00972956,-0.036189902,-0.094049148,-0.14602388,0.08574920878,0.066287689,-0.042983283,0.16066358,0.23579841,-0.31236827,-0.32867321,-0.12802214,0.1779859199,-0.069090096,0.3921217,0.20095995,-0.052322411,0.20484222,0.19950209,0.16122539,0.40943929
